Customer_ID,Name,Email,City,Age,Purchase_Date,Product,Quantity,Purchase_Amount
C1019,Karan Sharma,karan.sharma@example.com,MUMBAI,50.0,2026-07-15 00:00:00,Headphones,5.0,4995
C1020,Pooja Gupta,pooja.gupta@example.com,Bengaluru,27.0,2026-04-06 00:00:00,Headphones,5.0,224995
C1021,Kavya Desai,kavya.desai@example.com,Mumbai,38.0,2026-05-06 00:00:00,Laptop,1.0,2499
C1022,Kavya Gupta,kavya.gupta@example.com,Bengaluru,21.0,2026-03-03 00:00:00,Smartphone,1.0,24999
C1023,Karan Patil,karan.patil@example.com,,26.0,2026-06-18 00:00:00,Mouse,5.0,7495
C1024,Rahul Desai,rahul.desai@example.com,Kolkata,31.0,2026-05-19 00:00:00,Smartwatch,3.0,14997
C1025,Ananya Mehta,ananya.mehta@example.com,Noida,51.0,2026-04-26 00:00:00,Smartphone,2.0,2998
C1026,Vivaan Mehta,vivaan.mehta@example.com,Mumbai,55.0,2026-05-22 00:00:00,Smartwatch,5.0,7495
C1027,Aarav Patil,aarav.patil@example.com,Mumbai,32.0,2026-01-18 00:00:00,Laptop,3.0,2997
C1028,Neha Verma,neha.verma@example.com,Hyderabad,49.0,2026-02-24 00:00:00,Headphones,5.0,49995
C1029,Karan Verma,karan.verma@example.com,Noida,44.0,2026-02-18 00:00:00,Smartphone,1.0,24999
C1030,Sanjay Mehta,sanjay.mehta@example.com,Kolkata,44.0,2026-04-30 00:00:00,Laptop,1.0,999
C1031,Sanjay Mehta,sanjay.mehta@example.com,Pune,33.0,2026-02-19 00:00:00,Smartwatch,5.0,24995
C1032,Aditya Joshi,,Delhi,35.0,2026-04-29 00:00:00,Smartwatch,1.0,4999
C1033,Isha Desai,isha.desai@example.com,Pune,21.0,2026-06-16 00:00:00,Laptop,1.0,44999
C1034,Pooja Verma,pooja.verma@example.com,Delhi,44.0,2026-05-05 00:00:00,Mouse,2.0,89998
C1035,Sanjay Sharma,sanjay.sharma@example.com,Delhi,42.0,2026-01-01 00:00:00,Tablet,3.0,24999 
C1036,Isha Khan,isha.khan@example.com,Hyderabad,45.0,2026-06-28 00:00:00,Mouse,2.0,2998
C1037,Rahul Verma,rahul.verma@example.com,Mumbai,55.0,2026-07-08 00:00:00,Laptop,3.0,2997
C1038,Aarav Kulkarni,aarav.kulkarni@example.com,Noida,50.0,2026-05-16 00:00:00,Headphones,1.0,9999
C1039,Vivaan Singh,vivaan.singh@example.com,Pune,22.0,2026-06-22 00:00:00,Smartwatch,4.0,3996
C1040,Kavya Kulkarni,kavya.kulkarni@example.com, pune ,55.0,2026-06-02 00:00:00,Laptop,5.0,4995
C1041,Sanjay Kulkarni,sanjay.kulkarni@example.com,Chennai,34.0,2026-02-22 00:00:00,Monitor,2.0,4998
C1042,Sanjay Singh,sanjay.singh@example.com,Hyderabad,47.0,2026-03-22 00:00:00,Smartphone,1.0,4999
C1043,Priya Kulkarni,priya.kulkarni@example.com,Pune,22.0,2026-05-18 00:00:00,Smartwatch,5.0,12495
C1044,Aditya Mehta,aditya.mehta@example.com,Pune,33.0,2026-04-05 00:00:00,Keyboard,2.0,9998
C1045,Pooja Desai,pooja.desai@example.com,Hyderabad,51.0,2026-01-03 00:00:00,Keyboard,1.0,1499
C1046,Rahul Patil,rahul.patil@example.com,Pune,53.0,2026-02-09 00:00:00,Keyboard,3.0,29997
C1047,Arjun Mehta,arjun.mehta@example.com,Bengaluru,34.0,2026-05-10 00:00:00,Mouse,3.0,134997
C1048,Aarav Patil,aarav.patil@example.com,Kolkata,35.0,2026-01-12 00:00:00,Laptop,3.0,134997
C1049,Aditya Gupta,aditya.gupta@example.com,Delhi,46.0,2026-05-22 00:00:00,Tablet,5.0,4995
C1050,Vivaan Patil,vivaan.patil@example.com,Delhi,52.0,2026-01-10 00:00:00,Monitor,5.0,49995
C1051,Aditya Joshi,aditya.joshi@example.com,Delhi,20.0,2026-03-20 00:00:00,Monitor,1.0,2499
C1052,Arjun Verma,arjun.verma@example.com,Pune,40.0,2026-07-19 00:00:00,Tablet,5.0,124995
C1053,Aditya Verma,aditya.verma@example.com,Delhi,,2026-04-16 00:00:00,Laptop,2.0,49998
C1054,Kavya Mehta,kavya.mehta@example.com,Kolkata,33.0,2026-03-10 00:00:00,Headphones,1.0,4999
C1055,Pooja Sharma,pooja.sharma@example.com,Noida,32.0,2026-02-21 00:00:00,Mouse,3.0,7497
C1056,Pooja Verma,pooja.verma@example.com,Bengaluru,19.0,2026-06-18 00:00:00,Smartwatch,4.0,9996
C1057,Rahul Patil,rahul.patil@example.com,Hyderabad,40.0,2026-06-14 00:00:00,Tablet,5.0,12495
C1058,Aarav Patil,aarav.patil@example.com,Hyderabad,29.0,2026-05-29 00:00:00,Keyboard,1.0,999
C1059,Priya Joshi,priya.joshi@example.com,Chennai,38.0,2026-04-22 00:00:00,Smartphone,4.0,"9,999"
C1060,Arjun Gupta,arjun.gupta@example.com,Mumbai,45.0,2026-01-01 00:00:00,Smartwatch,3.0,14997
C1061,Vivaan Mehta,vivaan.mehta@example.com,Chennai,25.0,2026-07-04 00:00:00,Keyboard,5.0,12495
C1062,Ananya Joshi,ananya.joshi@example.com,Chennai,43.0,2026-06-28 00:00:00, laptop ,5.0,7495
C1063,Arjun Joshi,arjun.joshi@example.com,Kolkata,29.0,2026-06-07 00:00:00,Keyboard,4.0,39996
C1064,Pooja Sharma,pooja.sharma@example.com,Hyderabad,36.0,2026-02-23 00:00:00,Tablet,5.0,49995
C1065,Ananya Mehta,,Noida,46.0,2026-04-24 00:00:00,Smartwatch,5.0,24995
C1066,Isha Singh,isha.singh@example.com,Pune,36.0,2026-05-12 00:00:00,Monitor,1.0,44999
C1067,Isha Verma,isha.verma@example.com,Hyderabad,32.0,2026-07-26 00:00:00,Smartwatch,2.0,1998
C1068,Aarav Verma,aarav.verma@example.com,Noida,22.0,2026-04-27 00:00:00,Tablet,5.0,7495
C1069,Sneha Joshi,sneha.joshi@example.com,Noida,43.0,2026-03-04 00:00:00,Headphones,1.0,44999
C1070,Pooja Patil,pooja.patil@example.com,Kolkata,32.0,2026-02-15 00:00:00,Mouse,1.0,9999
C1071,Arjun Patil,arjun.patil@example.com,Noida,26.0,2026-07-25 00:00:00,Mouse,5.0,49995
C1072,Priya Mehta,priya.mehta@example.com,Noida,50.0,2026-04-20 00:00:00,Mouse,2.0,49998
C1073,Pooja Khan,pooja.khan@example.com,Noida,34.0,2026-07-12 00:00:00,Smartwatch,3.0,134997
C1074,Isha Desai,isha.desai@example.com,Noida,33.0,2026-03-12 00:00:00,SMARTPHONE,1.0,24999
C1075,Rahul Verma,rahul.verma@example.com,Hyderabad,39.0,2026-03-23 00:00:00,Smartphone,2.0,2998
C1076,Arjun Joshi,arjun.joshi@example.com,Delhi,31.0,2026-01-17 00:00:00,Tablet,4.0,9996
C1077,Neha Khan,neha.khan@example.com,,21.0,2026-02-22 00:00:00,Tablet,4.0,179996
C1078,Priya Sharma,priya.sharma@example.com,Kolkata,48.0,2026-01-02 00:00:00,Monitor,3.0,134997
C1079,Sanjay Joshi,sanjay.joshi@example.com,Bengaluru,49.0,2026-02-26 00:00:00,Keyboard,4.0,19996
C1080,Aarav Joshi,aarav.joshi@example.com,Chennai,43.0,2026-07-05 00:00:00,Headphones,4.0,5996
C1081,Priya Desai,priya.desai@example.com,Mumbai,43.0,2026-06-01 00:00:00,Laptop,1.0,24999
C1082,Sanjay Singh,sanjay.singh@example.com,Noida,29.0,2026-01-13 00:00:00,Keyboard,4.0,9996
C1083,Arjun Khan,arjun.khan@example.com,Chennai,39.0,2026-08-15 00:00:00,Tablet,3.0,134997
C1084,Pooja Joshi,pooja.joshi@example.com,Hyderabad,23.0,2026-05-01 00:00:00,Laptop,5.0,4995
C1085,Rohan Verma,rohan.verma@example.com,Pune,20.0,2026-07-13 00:00:00,Laptop,2.0,2998
C1086,Pooja Sharma,pooja.sharma@example.com,Delhi,33.0,2026-02-02 00:00:00,Mouse,1.0,9999
C1087,Arjun Khan,arjun.khan@example.com,Hyderabad,41.0,2026-02-12 00:00:00,Smartphone,2.0,4998
C1088,Vivaan Kulkarni,vivaan.kulkarni@example.com,Mumbai,37.0,2026-05-28 00:00:00,Tablet,4.0,99996
C1089,Arjun Patil,arjun.patil@example.com,Bengaluru,24.0,2026-06-28 00:00:00,Keyboard,,224995
C1090,Vivaan Kulkarni,vivaan.kulkarni@example.com,Mumbai,40.0,2026-05-17 00:00:00,Tablet,3.0,2997
C1091,Neha Mehta,neha.mehta@example.com,Mumbai,44.0,2026-07-30 00:00:00,Mouse,1.0,4999
C1092,Rohan Khan,rohan.khan@example.com,Delhi,45.0,2026-02-15 00:00:00,Keyboard,2,224995
C1093,Kavya Desai,kavya.desai@example.com,Noida,47.0,2026-04-22 00:00:00,Keyboard,3.0,134997
C1094,Arjun Patil,arjun.patil@example.com,Hyderabad,46.0,2026-08-20 00:00:00,Mouse,5.0,49995
C1095,Ananya Joshi,ananya.joshi@example.com,Chennai,19.0,2026-05-07 00:00:00,Monitor,2.0,9998
C1096,Arjun Mehta,arjun.mehta@example.com,Hyderabad,39.0,2026-03-13 00:00:00,Keyboard,5.0,4995
C1097,Neha Verma,neha.verma@example.com,Pune,33.0,31/02/2026,Tablet,4.0,39996
C1098,Isha Verma,isha.verma@example.com,Noida,49.0,2026-04-25 00:00:00,Laptop,1.0,2499
C1046,Arjun Joshi,arjun.joshi@example.com,Bengaluru,37.0,2026-06-19 00:00:00,Monitor,4.0,39996
C1100,Neha Mehta,neha.mehta@example.com,Kolkata,53.0,2026-03-26 00:00:00,Monitor,4.0,9996
C1021,,,,,,,,
C1021,Duplicate Customer,duplicate1@example.com,Mumbai,38.0,2026-05-06 00:00:00,Laptop,1.0,2499
C1046,Duplicate Customer 2,duplicate2@example.com,Pune,53.0,2026-02-09 00:00:00,Keyboard,3.0,29997
